"año","MUNICIPIO","CÓDIGO DANE","INSTITUCION","CÓDIGO DANE SEDE","SEDE","ZONA","SECTOR","Prescolar 1","Primero","Segundo","Tercero","Cuarto","Quinto","Sexto","Séptimo","Octavo","Noveno","Décimo","Once","intr","pfc 1","pfc 2","pfc 3","pfc 4","ciclo i","ciclo ii","ciclo iii","ciclo iv","ciclo v","ciclo vi","Total IE"
"2.022","CHISCAS","115180000013","I.E. TECNICO AGROPECUARIO","115180000021","CONC URB","URBANA","OFICIAL","12","6","5","6","5","10",,,,,,,,,,,,,,,,,,"44"
"2.022","CHISCAS","115180000013","I.E. TECNICO AGROPECUARIO","215180000123","ESC DUARTES ABAJO","RURAL","OFICIAL","5","2","1","1","1","2",,,,,,,,,,,,,,,,,,"12"
"2.022","CHISCAS","115180000013","I.E. TECNICO AGROPECUARIO","215180000352","ESC LA UPA","RURAL","OFICIAL","4","1","3","3","3","1",,,,,,,,,,,,,,,,,,"15"
"2.022","CHISCAS","115180000013","I.E. TECNICO AGROPECUARIO","215180000328","ESC LAS HIGUERAS","RURAL","OFICIAL","2","2","1",,"1","1",,,,,,,,,,,,,,,,,,"7"
"2.022","CHISCAS","115180000013","I.E. TECNICO AGROPECUARIO","215180000140","ESC PEÑA BLANCA","RURAL","OFICIAL",,,,"3",,"5",,,,,,,,,,,,,,,,,,"8"
"2.022","CHISCAS","115180000013","I.E. TECNICO AGROPECUARIO","215180000115","ESC SOYAGRA","RURAL","OFICIAL","2","2","5","5","1",,,,,,,,,,,,,,,,,,,"15"
"2.022","CHISCAS","215180000034","I.E. LAS MERCEDES","215180000034","I.E. LAS MERCEDES - SEDE PRINCIPAL","RURAL","OFICIAL","10","7","9","7","8","5","15","14","18","15","15","12",,,,,,,,,,,,"135"
"2.022","CHISCAS","215180000034","I.E. LAS MERCEDES","215180000042","ESC GOLONDRINAS","RURAL","OFICIAL",,"3",,"1","1","1",,,,,,,,,,,,,,,,,,"6"
"2.022","CHISCAS","215180000034","I.E. LAS MERCEDES","215180000077","ESC LA MESETA","RURAL","OFICIAL",,"1","1","4","2","2",,,,,,,,,,,,,,,,,,"10"
"2.022","CHISCAS","215180000034","I.E. LAS MERCEDES","215180000166","ESC LA RAMADA","RURAL","OFICIAL","1","1","1","1","2","2",,,,,,,,,,,,,,,,,,"8"
"2.022","CHISCAS","215180000034","I.E. LAS MERCEDES","215180000158","ESC LAS TAPIAS","RURAL","OFICIAL",,,"2","2",,,,,,,,,,,,,,,,,,,,"4"
"2.022","CHISCAS","215180000034","I.E. LAS MERCEDES","215180000387","ESC RECHINIGA","RURAL","OFICIAL",,"1",,,,"1",,,,,,,,,,,,,,,,,,"2"
"2.022","CHISCAS","215180000034","I.E. LAS MERCEDES","215180000107","ESC TAUCASI","RURAL","OFICIAL","2","1","1","2","1","1",,,,,,,,,,,,,,,,,,"8"
"2.022","CHISCAS","215180000034","I.E. LAS MERCEDES","215180000484","TARAZONA","RURAL","OFICIAL",,,,,,"2",,,,,,,,,,,,,,,,,,"2"
"2.022","CHISCAS","215180000051","I.E. LAS CAÑAS","215180000051","I.E. LAS CAÑAS - SEDE PRINCIPAL","RURAL","OFICIAL","5","1","4","3","2","1","11","6","10","7","10","5",,,,,,,,,,,,"65"
"2.022","CHISCAS","215180000051","I.E. LAS CAÑAS","215180000255","ESC EL RODEO","RURAL","OFICIAL","2","3",,"1",,,,,,,,,,,,,,,,,,,,"6"
"2.022","CHISCAS","215180000051","I.E. LAS CAÑAS","215180000361","ESC LA PERLA","RURAL","OFICIAL","3","1",,"1",,"2",,,,,,,,,,,,,,,,,,"7"
"2.022","CHISCAS","215180000051","I.E. LAS CAÑAS","215180000221","ESC MANUA GRANDE","RURAL","OFICIAL",,"2","3",,"2","1",,,,,,,,,,,,,,,,,,"8"
"2.022","CHISCAS","215180000051","I.E. LAS CAÑAS","215180000085","ESC RINCONCITOS","RURAL","OFICIAL",,"1","5",,"2","2",,,,,,,,,,,,,,,,,,"10"
"2.022","CHISCAS","215180000174","I.E. JAIME RUIZ CARRILLO","215180000174","I.E. JAIME RUIZ CARRILLO - SEDE PRINCIPAL","RURAL","OFICIAL","2","3","2","6","4","6","12","15","10","11","4","12",,,,,,,,,,,,"87"
"2.022","CHISCAS","215180000174","I.E. JAIME RUIZ CARRILLO","215180000093","ESC DUARTES ARRIBA","RURAL","OFICIAL",,"2","1",,"2","1",,,,,,,,,,,,,,,,,,"6"
"2.022","CHISCAS","215180000174","I.E. JAIME RUIZ CARRILLO","215180000212","ESC EL LIMON","RURAL","OFICIAL",,"4","3","1",,"1",,,,,,,,,,,,,,,,,,"9"
"2.022","CHISCAS","215180000174","I.E. JAIME RUIZ CARRILLO","215180000204","ESC LA FRAGUA","RURAL","OFICIAL",,"5","1","1","3","1",,,,,,,,,,,,,,,,,,"11"
"2.022","CHISCAS","215180000174","I.E. JAIME RUIZ CARRILLO","215180000182","ESC LLANO DE TABACO","RURAL","OFICIAL",,"1","3",,"2",,,,,,,,,,,,,,,,,,,"6"
"2.022","CHISCAS","215180000174","I.E. JAIME RUIZ CARRILLO","215180000310","ESC PORQUERAS","RURAL","OFICIAL","1",,,,"3","2",,,,,,,,,,,,,,,,,,"6"
"2.022","CHISCAS","215180000174","I.E. JAIME RUIZ CARRILLO","215180000191","ESC PUENTE CHIQUITO","RURAL","OFICIAL","1",,"2","2","1","2",,,,,,,,,,,,,,,,,,"8"
"2.022","CHITA","115183000022","I.E. NORMAL SUPERIOR SAGRADO CORAZON","115183000022","I.E. NORMAL SUPERIOR SAGRADO CORAZON - SEDE PRINCIPAL","URBANA","OFICIAL",,,,,,,"61","61","55","60","41","44",,,,,,,,,,,,"348"
"2.022","CHITA","115183000022","I.E. NORMAL SUPERIOR SAGRADO CORAZON","115183000049","ESC NORMAL SUPERIOR SAGRADO CORAZON - ANEXA","URBANA","OFICIAL","39","34","32","56","54","53",,,,,,,,,,,,,,,,,,"268"
"2.022","CHITA","115183000022","I.E. NORMAL SUPERIOR SAGRADO CORAZON","215183000388","ESC CANOAS","RURAL","OFICIAL","1","2","4","4","2","1",,,,,,,,,,,,,,,,,,"14"
"2.022","CHITA","115183000022","I.E. NORMAL SUPERIOR SAGRADO CORAZON","215183000175","ESC LA CALDERA","RURAL","OFICIAL","4","3","1","5","3","6",,,,,,,,,,,,,,,,,,"22"
"2.022","CHITA","115183000022","I.E. NORMAL SUPERIOR SAGRADO CORAZON","215183000078","ESC SAN VICENTE","RURAL","OFICIAL","1","1","1",,"2","1",,,,,,,,,,,,,,,,,,"6"
"2.022","CHITA","115183000022","I.E. NORMAL SUPERIOR SAGRADO CORAZON","215183000612","ESC PALONEGRO","RURAL","OFICIAL",,,,,"2",,,,,,,,,,,,,,,,,,,"2"
"2.022","CHITA","115183000022","I.E. NORMAL SUPERIOR SAGRADO CORAZON","215183000531","ESC LA VENTUROSA","RURAL","OFICIAL",,"1","1",,,,,,,,,,,,,,,,,,,,,"2"
"2.022","CHITA","115183000022","I.E. NORMAL SUPERIOR SAGRADO CORAZON","215183000477","ESC LAURELAL","RURAL","OFICIAL","1","2",,"4","1","2",,,,,,,,,,,,,,,,,,"10"
"2.022","CHITA","115183000022","I.E. NORMAL SUPERIOR SAGRADO CORAZON","215183000493","ESC BUENAVISTA","RURAL","OFICIAL","2","1","2",,"1","4",,,,,,,,,,,,,,,,,,"10"
"2.022","CHITA","115183000022","I.E. NORMAL SUPERIOR SAGRADO CORAZON","215183000213","ESC LA FERREIRA","RURAL","OFICIAL","5","5","1",,"3","2",,,,,,,,,,,,,,,,,,"16"
"2.022","CHITA","115183000022","I.E. NORMAL SUPERIOR SAGRADO CORAZON","215183000329","ESC LA PLAYA","RURAL","OFICIAL","1","2","1","3","2","3",,,,,,,,,,,,,,,,,,"12"
"2.022","CHITA","115183000391","I.E. JOSE MARIA POTIER","115183000391","I.E. JOSE MARIA POTIER - SEDE PRINCIPAL","URBANA","OFICIAL","10","12","21",,,,"45","53","59","48",,,,,,,,,,,,,,"293"
"2.022","CHITA","115183000391","I.E. JOSE MARIA POTIER","215183000434","SEDE PARROQUITA","RURAL","OFICIAL","1","2","2","5","1",,,,,,,,,,,,,,,,,,,"11"
"2.022","CHITA","115183000391","I.E. JOSE MARIA POTIER","315183000510","SEDE LA MILAGROSA","URBANA","OFICIAL",,,,,,,,,,,"63","54",,,,,,,,,,,,"117"
"2.022","CHITA","115183000391","I.E. JOSE MARIA POTIER","215183000281","SEDE DIMIZA","RURAL","OFICIAL","7","7","3","4","6","9",,,,,,,,,,,,,,,,,,"36"
"2.022","CHITA","115183000391","I.E. JOSE MARIA POTIER","215183000272","SEDE VICHACUCA","RURAL","OFICIAL","3","4","3","8","4","10",,,,,,,,,,,,,,,,,,"32"
"2.022","CHITA","115183000391","I.E. JOSE MARIA POTIER","215183000566","SEDE LA FLORESTA UNO","RURAL","OFICIAL","4","3","5","7","6","5",,,,,,,,,,,,,,,,,,"30"
"2.022","CHITA","115183000391","I.E. JOSE MARIA POTIER","215183000230","SEDE CHIPA BETEL","RURAL","OFICIAL","5","4","6","3","4","1",,,,,,,,,,,,,,,,,,"23"
"2.022","CHITA","115183000391","I.E. JOSE MARIA POTIER","215183000124","SEDE LA CHORRERA","RURAL","OFICIAL",,"1","2",,,,,,,,,,,,,,,,,,,,,"3"
"2.022","CHITA","115183000391","I.E. JOSE MARIA POTIER","215183000485","SEDE LA FLORESTA","RURAL","OFICIAL","1","4","2","2","3","2",,,,,,,,,,,,,,,,,,"14"
"2.022","CHITA","115183000391","I.E. JOSE MARIA POTIER","215183000051","SEDE CHIPA VIEJO","RURAL","OFICIAL",,"1",,,"1","1",,,,,,,,,,,,,,,,,,"3"
"2.022","CHITA","115183000391","I.E. JOSE MARIA POTIER","215183000647","SEDE EL HELECHAL","RURAL","OFICIAL",,"1","1","2","2","2",,,,,,,,,,,,,,,,,,"8"
"2.022","CHITA","115183000391","I.E. JOSE MARIA POTIER","215183000469","SEDE EL REFUGIO","RURAL","OFICIAL","2","1",,"1",,,,,,,,,,,,,,,,,,,,"4"
"2.022","CHITA","115183000391","I.E. JOSE MARIA POTIER","215183000132","SEDE EL MORTIÑAL","RURAL","OFICIAL","1","1","1","3","2","2",,,,,,,,,,,,,,,,,,"10"
"2.022","CHITA","115183000391","I.E. JOSE MARIA POTIER","215183000248","SEDE QUINDEVA","RURAL","OFICIAL","3",,"3",,,"5",,,,,,,,,,,,,,,,,,"11"
"2.022","CHITA","115183000391","I.E. JOSE MARIA POTIER","215183000183","SEDE TOBAL","RURAL","OFICIAL","2","1","2",,"4",,,,,,,,,,,,,,,,,,,"9"
"2.022","CHITA","115183000391","I.E. JOSE MARIA POTIER","215183000507","SEDE LA CORTADERA","RURAL","OFICIAL",,,"1","1",,"1",,,,,,,,,,,,,,,,,,"3"
"2.022","CHITA","115183000391","I.E. JOSE MARIA POTIER","215183000302","SEDE QUICHOVA","RURAL","OFICIAL",,"1","1","3","4","1",,,,,,,,,,,,,,,,,,"10"
"2.022","CHITA","115183000391","I.E. JOSE MARIA POTIER","215183000299","SEDE DIAVENA","RURAL","OFICIAL","1",,,"1","2","2",,,,,,,,,,,,,,,,,,"6"
"2.022","CHITA","115183000391","I.E. JOSE MARIA POTIER","215183000191","SEDE LA COLORADA","RURAL","OFICIAL",,"1","2","2",,"4",,,,,,,,,,,,,,,,,,"9"
"2.022","CHITA","115183000391","I.E. JOSE MARIA POTIER","215183000221","SEDE RECHINIGA","RURAL","OFICIAL","1","2",,"2",,"4",,,,,,,,,,,,,,,,,,"9"
"2.022","CHITA","215183000060","I.E. EL MORAL","215183000060","I.E. EL MORAL - SEDE PRINCIPAL","RURAL","OFICIAL","12","12","12","16","18","12","34","16","15","23","14","17",,,,,,,,,,,,"201"
"2.022","CHITA","215183000060","I.E. EL MORAL","215183000582","SEDE  LA CHORRERA","RURAL","OFICIAL","2","6","2","3","3","4",,,,,,,,,,,,,,,,,,"20"
"2.022","CHITA","215183000060","I.E. EL MORAL","215183000558","SEDE EL PUERTO","RURAL","OFICIAL","1","1","2","2","5","5",,,,,,,,,,,,,,,,,,"16"
"2.022","CHITA","215183000060","I.E. EL MORAL","215183000311","ESC LLANO GRANDE","RURAL","OFICIAL","1","1","3",,"3","3",,,,,,,,,,,,,,,,,,"11"
"2.022","CHITA","215183000337","I.E. JESUS EMILIO JARAMILLO MONSALVE","215183000337","I.E. JESUS EMILIO JARAMILLO MONSALVE - SEDE PRINCIPAL","RURAL","OFICIAL","3","4","6","9","9","8","20","24","24","14","22","9",,,,,,,,,,,,"152"
"2.022","CHITA","215183000337","I.E. JESUS EMILIO JARAMILLO MONSALVE","215183000167","SEDE EL RESGUARDO","RURAL","OFICIAL","4","1","4","5","8","11",,,,,,,,,,,,,,,,,,"33"
"2.022","CHITA","215183000337","I.E. JESUS EMILIO JARAMILLO MONSALVE","215183000264","SEDE LA ESTANCIA","RURAL","OFICIAL","2","4","2","1","1","1",,,,,,,,,,,,,,,,,,"11"
"2.022","CHITA","215183000337","I.E. JESUS EMILIO JARAMILLO MONSALVE","215183000205","SEDE DE CUCO","RURAL","OFICIAL",,,"1","4","2","1",,,,,,,,,,,,,,,,,,"8"
"2.022","CHITA","215183000337","I.E. JESUS EMILIO JARAMILLO MONSALVE","215183000655","SEDE RUBACHA","RURAL","OFICIAL","1",,"1","1",,"4",,,,,,,,,,,,,,,,,,"7"
"2.022","COPER","115212000266","I.E. JUANA CAPORAL","215212000031","ESC SAN ANTONIO","RURAL","OFICIAL","3",,"1","1","2","4",,,,,,,,,,,,,,,,,,"11"
"2.022","CHITARAQUE","315185000169","I.E. SAN PEDRO CLAVER","315185000169","I.E. SAN PEDRO CLAVER - SEDE PRINCIPAL","URBANA","OFICIAL",,,,,,,"72","78","67","55","86","61",,,,,,,,,,,,"452"
"2.022","CHITARAQUE","315185000169","I.E. SAN PEDRO CLAVER","115185000011","CONC URB MIXTA","URBANA","OFICIAL","29","39","24","30","31","18",,,,,,,,,,,,,,,,,,"171"
"2.022","CHITARAQUE","315185000169","I.E. SAN PEDRO CLAVER","215185000059","ESC GUAYACAN Y PEÑA","RURAL","OFICIAL","3","4","4","5","8","1",,,,,,,,,,,,,,,,,,"25"
"2.022","CHITARAQUE","315185000169","I.E. SAN PEDRO CLAVER","215185000105","ESC POTRERO GRANDE","RURAL","OFICIAL","2","3","2","5","1","4",,,,,,,,,,,,,,,,,,"17"
"2.022","CHITARAQUE","315185000169","I.E. SAN PEDRO CLAVER","215185000121","ESC TUME CHICO","RURAL","OFICIAL","5","9","6","4","9","9",,,,,,,,,,,,,,,,,,"42"
"2.022","CHITARAQUE","315185000169","I.E. SAN PEDRO CLAVER","215185000130","ESC TUME GRANDE","RURAL","OFICIAL","3","2","5","3","2","3",,,,,,,,,,,,,,,,,,"18"
"2.022","CHITARAQUE","315185000169","I.E. SAN PEDRO CLAVER","215185000172","ESC SANTA BARBARA","RURAL","OFICIAL","3","4","5","3","7","1",,,,,,,,,,,,,,,,,,"23"
"2.022","CHITARAQUE","315185000169","I.E. SAN PEDRO CLAVER","215185000083","ESC PALMICHAL","RURAL","OFICIAL","5","2","7","9","6","7",,,,,,,,,,,,,,,,,,"36"
"2.022","CHITARAQUE","315185000169","I.E. SAN PEDRO CLAVER","215185000211","ESC CARLOS CASTELLANOS","RURAL","OFICIAL","2","2","5",,,"4",,,,,,,,,,,,,,,,,,"13"
"2.022","CHITARAQUE","315185000169","I.E. SAN PEDRO CLAVER","215185000091","ESC PARAMO","RURAL","OFICIAL","2","2","2","1","3","1",,,,,,,,,,,,,,,,,,"11"
"2.022","CHITARAQUE","315185000169","I.E. SAN PEDRO CLAVER","215185000067","ESC GUAMOS Y LADERAS","RURAL","OFICIAL","9","8","10","7","8","8",,,,,,,,,,,,,,,,,,"50"
"2.022","CHITARAQUE","315185000169","I.E. SAN PEDRO CLAVER","215185000199","ESC SAN RAFAEL","RURAL","OFICIAL",,,"1","1","2","1",,,,,,,,,,,,,,,,,,"5"
"2.022","CHITARAQUE","315185000169","I.E. SAN PEDRO CLAVER","215185000041","ESC CAPITA Y VILLABONA","RURAL","OFICIAL","3","1",,"3",,"3",,,,,,,,,,,,,,,,,,"10"
"2.022","CHITARAQUE","315185000169","I.E. SAN PEDRO CLAVER","215185000032","ESC BUENAVISTA Y ANACOS","RURAL","OFICIAL","3","1","2","3","6","6",,,,,,,,,,,,,,,,,,"21"
"2.022","CHITARAQUE","315185000169","I.E. SAN PEDRO CLAVER","215185000075","ESC MOTAVITA","RURAL","OFICIAL","10","6","13","8","11","8","12","13","15","8",,,,,,,,,,,,,,"104"
"2.022","CHITARAQUE","315185000169","I.E. SAN PEDRO CLAVER","215185000113","ESC SANTO DOMINGO","RURAL","OFICIAL","4","1","5","4","2","6",,,,,,,,,,,,,,,,,,"22"
"2.022","CHIVATA","315187000069","I.E. AGROPECUARIO","315187000069","I.E. AGROPECUARIO - SEDE PRINCIPAL","URBANA","OFICIAL",,,,,,,"52","45","39","31","40","22",,,,,,,,,,,,"229"
"2.022","CHIVATA","315187000069","I.E. AGROPECUARIO","115187000035","CONC URB MIXTA","URBANA","OFICIAL","17","22","20","19","15","19",,,,,,,,,,,,,,,,,,"112"
"2.022","CHIVATA","315187000069","I.E. AGROPECUARIO","215187000072","ESC CARBONERAS","RURAL","OFICIAL","5","5","6","4","3","4",,,,,,,,,,,,,,,,,,"27"
"2.022","CHIVATA","315187000069","I.E. AGROPECUARIO","215187000056","ESC EL MORAL","RURAL","OFICIAL","4","7","4","3","1","3",,,,,,,,,,,,,,,,,,"22"
"2.022","CHIVATA","315187000069","I.E. AGROPECUARIO","215187000021","ESC SIATOCA","RURAL","OFICIAL",,"3","3",,,,,,,,,,,,,,,,,,,,,"6"
"2.022","CHIVATA","315187000069","I.E. AGROPECUARIO","215187000081","ESC RICAYA NORTE","RURAL","OFICIAL","3","3","3","1","2","1",,,,,,,,,,,,,,,,,,"13"
"2.022","CHIVATA","315187000069","I.E. AGROPECUARIO","215187000048","ESC RICAYA SUR","RURAL","OFICIAL","1","5","9","6","3","3",,,,,,,,,,,,,,,,,,"27"
"2.022","CHIVATA","315187000069","I.E. AGROPECUARIO","215187000013","ESC PONTEZUELAS","RURAL","OFICIAL","6","7","5","7","7","3",,,,,,,,,,,,,,,,,,"35"
"2.022","CHIVOR","115022000260","I.E. TECNICO AGROPECUARIO LA ESMERALDA","115022000260","I.E. TECNICO AGROPECUARIO LA ESMERALDA - SEDE PRINCIPAL","URBANA","OFICIAL",,,,,,,"33","31","31","27","24","24",,,,,,,,,,,,"170"
"2.022","CHIVOR","115022000260","I.E. TECNICO AGROPECUARIO LA ESMERALDA","215022000035","CONC URB","URBANA","OFICIAL","16","9","16","13","9","18",,,,,,,,,,,,,,,,,,"81"
"2.022","CHIVOR","115022000260","I.E. TECNICO AGROPECUARIO LA ESMERALDA","215022000248","ESC CAMOYO","RURAL","OFICIAL",,"1","2",,"3",,,,,,,,,,,,,,,,,,,"6"
"2.022","CHIVOR","115022000260","I.E. TECNICO AGROPECUARIO LA ESMERALDA","215022000281","ESC EL PINO","RURAL","OFICIAL","3","2","3","3","6","3",,,,,,,,,,,,,,,,,,"20"
"2.022","CHIVOR","115022000260","I.E. TECNICO AGROPECUARIO LA ESMERALDA","215022000043","ESC EL SINAI","RURAL","OFICIAL","1","1","2","2","1","4",,,,,,,,,,,,,,,,,,"11"
"2.022","CHIVOR","115022000260","I.E. TECNICO AGROPECUARIO LA ESMERALDA","215022000230","ESC GUALI","RURAL","OFICIAL",,,"2",,"6","1",,,,,,,,,,,,,,,,,,"9"
"2.022","CHIVOR","115022000260","I.E. TECNICO AGROPECUARIO LA ESMERALDA","215022000299","ESC LA ESMERALDA","RURAL","OFICIAL","1","2",,,,"1",,,,,,,,,,,,,,,,,,"4"
"2.022","CHIVOR","115022000260","I.E. TECNICO AGROPECUARIO LA ESMERALDA","215022000159","ESC LA ESPERANZA","RURAL","OFICIAL",,"2","1","1",,,,,,,,,,,,,,,,,,,,"4"
"2.022","CHIVOR","115022000260","I.E. TECNICO AGROPECUARIO LA ESMERALDA","215022000051","ESC SAN CAYETANO","RURAL","OFICIAL","1","2","2",,"2",,,,,,,,,,,,,,,,,,,"7"
"2.022","CHIVOR","115022000260","I.E. TECNICO AGROPECUARIO LA ESMERALDA","215022000213","ESC SAN FRANCISCO","RURAL","OFICIAL",,"1",,"2",,"4",,,,,,,,,,,,,,,,,,"7"
"2.022","CHIVOR","115022000260","I.E. TECNICO AGROPECUARIO LA ESMERALDA","215022000272","ESC SAN MARTIN","RURAL","OFICIAL",,"1","1","1","1",,,,,,,,,,,,,,,,,,,"4"
"2.022","CIENEGA","115189000148","I.E. TECNICA JOSE CAYETANO VASQUEZ","115189000148","I.E. TECNICA JOSE CAYETANO VASQUEZ - SEDE PRINCIPAL","URBANA","OFICIAL",,,,,,,"28","42","30","30","23","22",,,,,,,,,,,,"175"
"2.022","CIENEGA","115189000148","I.E. TECNICA JOSE CAYETANO VASQUEZ","115189000032","CONC JOSE CAYETANO VASQUEZ","URBANA","OFICIAL","27","27","23","31","21","26",,,,,,,,,,,,,,,,,,"155"
"2.022","CIENEGA","115189000148","I.E. TECNICA JOSE CAYETANO VASQUEZ","215189000088","ESC TAPIAS","RURAL","OFICIAL","12","9","3","7","12","5",,,,,,,,,,,,,,,,,,"48"
"2.022","CIENEGA","115189000148","I.E. TECNICA JOSE CAYETANO VASQUEZ","215189000096","SEDE SAN VICENTE","RURAL","OFICIAL","3",,"3","5","1","4",,,,,,,,,,,,,,,,,,"16"
"2.022","CIENEGA","115189000148","I.E. TECNICA JOSE CAYETANO VASQUEZ","215189000045","ESC GUATARETA","RURAL","OFICIAL","2","5","1","1","1","3",,,,,,,,,,,,,,,,,,"13"
"2.022","CIENEGA","115189000148","I.E. TECNICA JOSE CAYETANO VASQUEZ","215189000126","COL EDUC BAS CEBADAL","RURAL","OFICIAL","23","12","12","20","20","22","24","25","26","16","26","15",,,,,,,,,,,,"241"
"2.022","CIENEGA","215189000061","I.E. SANTO DOMINGO SAVIO","215189000061","I.E. SANTO DOMINGO SAVIO - SEDE PRINCIPAL","RURAL","OFICIAL","9","5","7","7","7","16","17","19","17","15","10","12",,,,,,,,,,,,"206"
"2.022","CIENEGA","215189000061","I.E. SANTO DOMINGO SAVIO","215189000142","ESC PLAN","RURAL","OFICIAL",,"7","3",,"2","2",,,,,,,,,,,,,,,,,,"14"
"2.022","CIENEGA","215189000061","I.E. SANTO DOMINGO SAVIO","215189000151","ESC DE TAPIAS ALTO","RURAL","OFICIAL","3","4","1","2","2",,,,,,,,,,,,,,,,,,,"12"
"2.022","CIENEGA","215189000061","I.E. SANTO DOMINGO SAVIO","215189000070","ESC ALBAÑIL","RURAL","OFICIAL","4","3","4","3","4","5",,,,,,,,,,,,,,,,,,"23"
"2.022","COMBITA","115204000176","I.E. INTEGRADO","115204000176","I.E. INTEGRADO - SEDE PRINCIPAL","URBANA","OFICIAL",,,,,,,"149","104","106","80","87","64",,,,,,,,,,,,"590"
"2.022","COMBITA","115204000176","I.E. INTEGRADO","115204000010","ESC URB MIXTA","URBANA","OFICIAL","33","51","38","39","53","44",,,,,,,,,,,,,,,,,,"258"
"2.022","COMBITA","115204000176","I.E. INTEGRADO","215204000243","ESC LA ESPERANZA","RURAL","OFICIAL","4","3","6","4","4","4",,,,,,,,,,,,,,,,,,"25"
"2.022","COMBITA","115204000176","I.E. INTEGRADO","215204000201","ESC LA CONCEPCION","RURAL","OFICIAL","5","7","3","6","9","6",,,,,,,,,,,,,,,,,,"36"
"2.022","COMBITA","115204000176","I.E. INTEGRADO","215204000065","ESC SAN ONOFRE","RURAL","OFICIAL","3","2","2","4","3","2",,,,,,,,,,,,,,,,,,"16"
"2.022","COMBITA","115204000176","I.E. INTEGRADO","215204000049","ESC SAN RAFAEL","RURAL","OFICIAL","14","11","11","4","10","8",,,,,,,,,,,,,,,,,,"58"
"2.022","COMBITA","115204000176","I.E. INTEGRADO","215204000146","ESC EL ROBLE","RURAL","OFICIAL",,"1","5","3","1","7",,,,,,,,,,,,,,,,,,"17"
"2.022","COMBITA","215204000278","I.E. SANTA BARBARA","215204000278","I.E. SANTA BARBARA - SEDE PRINCIPAL","RURAL","OFICIAL",,,,,,,"15","21","22","9","13","4",,,,,,,,,,,,"84"
"2.022","COMBITA","215204000278","I.E. SANTA BARBARA","215204000332","ESC SANTA BARBARA","RURAL","OFICIAL","7","10","4","8","9","10",,,,,,,,,,,,,,,,,,"48"
"2.022","COMBITA","215204000278","I.E. SANTA BARBARA","215204000260","ESC LA PLAYA","RURAL","OFICIAL","3","4","2",,,"2",,,,,,,,,,,,,,,,,,"11"
"2.022","COMBITA","215204000278","I.E. SANTA BARBARA","215204000090","ESC EL ROSAL","RURAL","OFICIAL","2","1","4",,"1","2",,,,,,,,,,,,,,,,,,"10"
"2.022","COMBITA","215204000278","I.E. SANTA BARBARA","215204000111","ESC PIEDRA BLANCA","RURAL","OFICIAL","4","8","6","2","8","7",,,,,,,,,,,,,,,,,,"35"
"2.022","COMBITA","215204000294","I.E. SAN FRANCISCO","215204000294","I.E. SAN FRANCISCO - SEDE PRINCIPAL","RURAL","OFICIAL",,,,,,,"9","9","16","10","13","10",,,,,,,,,,,,"67"
"2.022","COMBITA","215204000294","I.E. SAN FRANCISCO","215204000081","ESC EL CARMEN","RURAL","OFICIAL","5","2","6","5","4","4",,,,,,,,,,,,,,,,,,"26"
"2.022","COMBITA","215204000294","I.E. SAN FRANCISCO","215204000103","ESC SAN FRANCISCO","RURAL","OFICIAL","5","2","6","5","8","11",,,,,,,,,,,,,,,,,,"37"
"2.022","COMBITA","215204000294","I.E. SAN FRANCISCO","215204000073","ESC LAS MERCEDES","RURAL","OFICIAL","2","2","2",,"4","3",,,,,,,,,,,,,,,,,,"13"
"2.022","COMBITA","215204000294","I.E. SAN FRANCISCO","215204000235","ESC TRES ESQUINAS","RURAL","OFICIAL",,"2","2","2","2","6",,,,,,,,,,,,,,,,,,"14"
"2.022","COMBITA","215204000294","I.E. SAN FRANCISCO","215204000189","ESC LA TOMA","RURAL","OFICIAL","1","3","3","2","3","4",,,,,,,,,,,,,,,,,,"16"
"2.022","COMBITA","215204000294","I.E. SAN FRANCISCO","215204000031","ESC SAN ISIDRO","RURAL","OFICIAL","3","3","6","3","3","1",,,,,,,,,,,,,,,,,,"19"
"2.022","COMBITA","215204000294","I.E. SAN FRANCISCO","215204000057","ESC SAN MARTIN","RURAL","OFICIAL","5","2","2","3","4","5",,,,,,,,,,,,,,,,,,"21"
"2.022","COMBITA","215204000405","INSTITUCION EDUCATIVA JUAN XXIII","215204000405","INSTITUCION EDUCATIVA JUAN XXIII","RURAL","OFICIAL",,,,,,,,,,,,,,,,,,,,,,,,"1,339"
"2.022","COPER","115212000266","I.E. JUANA CAPORAL","115212000266","I.E. JUANA CAPORAL - SEDE PRINCIPAL","URBANA","OFICIAL",,,,,,,"37","40","22","29","23","19",,,,,,,,,,,,"170"
"2.022","COPER","115212000266","I.E. JUANA CAPORAL","115212000011","CONC URB MIXTA","URBANA","OFICIAL","14","11","7","5","20","11",,,,,,,,,,,,,,,,,,"68"
"2.022","COPER","115212000266","I.E. JUANA CAPORAL","215212000147","ESC EL PARAMO","RURAL","OFICIAL","1","3","2","1","3","2",,,,,,,,,,,,,,,,,,"12"
"2.022","COPER","115212000266","I.E. JUANA CAPORAL","215212000171","ESC GUAYABAL","RURAL","OFICIAL","1","3","3","1","2","1",,,,,,,,,,,,,,,,,,"11"
"2.022","COPER","115212000266","I.E. JUANA CAPORAL","215212000376","ESC LIMONAL","RURAL","OFICIAL",,"1",,,"1",,,,,,,,,,,,,,,,,,,"2"
